"cases_time_series__dailyconfirmed","cases_time_series__dailydeceased","cases_time_series__dailyrecovered","cases_time_series__date","cases_time_series__totalconfirmed","cases_time_series__totaldeceased","cases_time_series__totalrecovered","statewise__active","statewise__confirmed","statewise__deaths","statewise__deltaconfirmed","statewise__deltadeaths","statewise__deltarecovered","statewise__lastupdatedtime","statewise__migratedother","statewise__recovered","statewise__state","statewise__statecode","statewise__statenotes","tested__dailyrtpcrtests","tested__individualstestedperconfirmedcase","tested__positivecasesfromsamplesreported","tested__samplereportedtoday","tested__source","tested__source1","tested__source3","tested__testedasof","tested__testpositivityrate","tested__testsconductedbyprivatelabs","tested__testsperconfirmedcase","tested__testspermillion","tested__totalindividualstested","tested__totalpositivecases","tested__totalrtpcrtests","tested__totalsamplestested","tested__updatetimestamp"
"1","0","0","30 January ","1","0","0","945551","6397896","99833","5936","29","2941","02/10/2020 12:20:45","918","5351594","Total","TT","","","75.64","","","Press_Release_ICMR_13March2020.pdf","","","13/03/2020","1.20%","","83.33","5","5900","78","","6500","13/03/2020 00:00:00"
"0","0","0","31 January ","1","0","0","259006","1400922","37056","0","0","0","01/10/2020 23:39:43","434","1104426","Maharashtra","MH","[Sep 9] :239 cases have been removed from the hospitalized figures owing to the removal of duplicates and change of addresses as per the original residence,\n[Aug 15] : MH bulletin has reduced 819 confirmed cases in Mumbai and 72 confirmed cases from 'Other States' from the tally\n[Jun 16] : 1328 deceased cases have been retroactively added to MH bulletin.\n[Jun 20] : 69 deceased cases have been reduced based on state bulletin.","","81.57","","","ICMR_website_update_18March_6PM_IST.pdf","","","18/03/2020","1.14%","","87.50","10","12235","150","","13125","18/03/2020 18:00:00"
"0","0","0","01 February ","1","0","0","57858","700235","5869","0","0","0","01/10/2020 22:07:48","0","636508","Andhra Pradesh","AP","","","73.96","","","ICMR_website_update_19March_10AM_IST_V2.pdf","","","19/03/2020","1.26%","","79.26","10","12426","168","","13316","19/03/2020 10:00:00"
"1","0","0","02 February ","2","0","0","46369","603290","9586","0","0","0","01/10/2020 18:46:44","0","547335","Tamil Nadu","TN","[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.\n2 deaths cross notified to other states from Chennai and Coimbatore.\n1 patient died after turning negative for infection in Chengalpattu.\nThese cases have been added to TN deceased tally","","72.99","","","ICMR_website_update_19March_6PM_IST.pdf","","","19/03/2020","1.28%","","77.88","11","13285","182","","14175","19/03/2020 18:00:00"
"1","0","0","03 February ","3","0","0","110412","611837","8994","0","0","0","01/10/2020 22:07:49","19","492412","Karnataka","KA","","","65.47","","","ICMR_website_update_20March_10AM_IST.pdf","","","20/03/2020","1.43%","","69.79","11","13486","206","","14376","20/03/2020 10:00:00"
"0","0","0","04 February ","3","0","0","50378","403101","5864","0","0","0","01/10/2020 19:31:48","0","346859","Uttar Pradesh","UP","","","61.50","","","ICMR_website_update_20March_6PM_IST.pdf","","","20/03/2020","1.53%","","65.27","12","14514","236","","15404","20/03/2020 18:00:00"
"0","0","0","05 February ","3","0","0","26738","282752","5401","0","0","0","01/10/2020 19:10:30","0","250613","Delhi","DL","[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change.\n[June 16]: 344 deceased cases have been retroactively added to DL bulletin.","","54.65","","","ICMR_website_update_21March_10AM_IST.pdf","","","21/03/2020","1.73%","","57.94","12","14811","271","","15701","21/03/2020 10:00:00"
"0","0","0","06 February ","3","0","0","26552","260324","5017","0","0","0","01/10/2020 22:24:46","0","228755","West Bengal","WB","","","50.86","","","ICMR_website_update_21March_6PM_IST.pdf","","","21/03/2020","1.86%","","53.69","13","16021","315","","16911","21/03/2020 18:00:00"
"0","0","0","07 February ","3","0","0","35326","226334","928","3600","16","0","02/10/2020 12:20:48","0","190080","Odisha","OR","[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count\n[June 22nd]: NDRF/ODRF cases have been redistributed to districts based on state dashboard","","47.24","","","ICMR_website_update_22March_10AM_IST.pdf","","","22/03/2020","2.01%","","49.85","13","16109","341","","16999","22/03/2020 10:00:00"
"0","0","0","08 February ","3","0","0","28620","195609","1145","2009","10","2437","02/10/2020 12:10:49","0","165844","Telangana","TG","[July 27] : Telangana bulletin for the previous day is released on the next day. We will add the cases for Telangana against the date of release, as that is the convention that we are following for other states.\n--\nDistrict-wise numbers are not reported because cumulative counts for each district are not provided in Telangana bulletin","","43.53","","","ICMR_website_update_22March_6PM_IST.pdf","","","22/03/2020","2.18%","","45.78","14","17237","396","","18127","22/03/2020 18:00:00"
